,close,open,high,low,volume
2025-12-17 07:00:00,22369.559613768677,22361.485443438072,22389.996395760154,22352.32837649181,2338
2025-12-17 08:00:00,22372.790534803047,22369.559613768677,22389.522203519704,22354.195039049446,2444
2025-12-17 09:00:00,22329.49783348595,22372.790534803047,22382.5777320222,22297.346280771348,2997
2025-12-17 10:00:00,22297.293208451963,22329.49783348595,22349.569185664495,22296.092067758702,509
2025-12-17 11:00:00,22279.04716065336,22297.293208451963,22313.78484297012,22269.341452371507,1297
2025-12-17 12:00:00,22274.972694235035,22279.04716065336,22300.866627331732,22266.312860142498,1376
2025-12-17 13:00:00,22232.721238476584,22274.972694235035,22289.0548027033,22213.68134024474,1528
2025-12-17 14:00:00,22196.133151874335,22232.721238476584,22254.647280029945,22190.73552313078,1515
2025-12-17 15:00:00,22134.995585329016,22196.133151874335,22208.45714198761,22123.795147818302,2324
2025-12-17 16:00:00,22070.227388830455,22134.995585329016,22144.768951468424,22041.103754908207,873
2025-12-17 17:00:00,22054.44855421717,22070.227388830455,22088.46724251814,22049.53562585185,2693
2025-12-17 18:00:00,22051.19397488061,22054.44855421717,22076.79144979361,22019.216725304508,723
2025-12-17 19:00:00,22011.32963888552,22051.19397488061,22074.45369696502,22008.48459861315,1762
2025-12-17 20:00:00,21997.61948652687,22011.32963888552,22022.455766302588,21972.48419733338,2724
2025-12-17 21:00:00,21967.2998943062,21997.61948652687,22006.95813080192,21948.749338881033,2302
2025-12-17 22:00:00,21911.424260295735,21967.2998943062,21988.496966733637,21903.83970406836,1352
2025-12-17 23:00:00,21880.500953749528,21911.424260295735,21925.94805744724,21869.570815028976,562
2025-12-18 00:00:00,21878.96064090888,21880.500953749528,21887.305852618854,21865.981186120025,1740
2025-12-18 01:00:00,21838.2184055777,21878.96064090888,21883.978375453164,21810.159115146245,1188
2025-12-18 02:00:00,21837.80958561757,21838.2184055777,21841.777274554013,21826.329941511147,1984
2025-12-18 03:00:00,21733.288320878553,21837.80958561757,21853.85551023586,21706.758134566026,2133
2025-12-18 04:00:00,21715.478912501407,21733.288320878553,21736.801423669116,21691.173602484167,2652
2025-12-18 05:00:00,21680.139196668,21715.478912501407,21730.560776989565,21672.991265876382,1010
2025-12-18 06:00:00,21636.155874368917,21680.139196668,21698.836024462104,21619.56339680433,884
2025-12-18 07:00:00,21603.111707553497,21636.155874368917,21646.354139351646,21587.553290873577,904
2025-12-18 08:00:00,21519.411251212525,21603.111707553497,21615.029198778604,21503.503112450515,1017
2025-12-18 09:00:00,21481.386278353886,21519.411251212525,21539.708296608693,21453.698143824724,975
2025-12-18 10:00:00,21459.403513139438,21481.386278353886,21486.48375436327,21427.339246142186,2500
2025-12-18 11:00:00,21467.20021039547,21459.403513139438,21467.816912791648,21445.61779389972,2168
2025-12-18 12:00:00,21426.982237199954,21467.20021039547,21486.906748047346,21409.734302258075,2393
2025-12-18 13:00:00,21381.519231612732,21426.982237199954,21437.000641041388,21368.18420961559,1960
2025-12-18 14:00:00,21345.847375853347,21381.519231612732,21392.57522413546,21335.5622939089,1213
2025-12-18 15:00:00,21347.829987704754,21345.847375853347,21369.626804480922,21327.991251965628,582
2025-12-18 16:00:00,21337.464678269695,21347.829987704754,21357.28671094267,21315.26787926623,1668
2025-12-18 17:00:00,21308.03750527001,21337.464678269695,21354.92307443671,21286.5346083193,2401
2025-12-18 18:00:00,21307.15884101906,21308.03750527001,21328.0745360054,21298.790801106436,2548
2025-12-18 19:00:00,21298.409159824805,21307.15884101906,21317.677392697486,21277.43081098382,550
2025-12-18 20:00:00,21314.03205028234,21298.409159824805,21333.91501240581,21283.576372576517,1184
2025-12-18 21:00:00,21290.509052261117,21314.03205028234,21329.97066934881,21265.28773309481,1216
2025-12-18 22:00:00,21278.993922483474,21290.509052261117,21300.77648115043,21259.617143434112,1969
2025-12-18 23:00:00,21268.530503083355,21278.993922483474,21292.376381264003,21255.271952709172,948
2025-12-19 00:00:00,21233.94770977534,21268.530503083355,21292.320717899252,21212.344378983435,1380
2025-12-19 01:00:00,21246.012684895977,21233.94770977534,21267.520761983982,21208.503879318105,987
2025-12-19 02:00:00,21259.837210507474,21246.012684895977,21275.005241240535,21225.55706112562,2323
2025-12-19 03:00:00,21269.86694216044,21259.837210507474,21282.38480810769,21242.243879687565,2581
2025-12-19 04:00:00,21276.463918366593,21269.86694216044,21290.422773931652,21254.090974440496,2642
2025-12-19 05:00:00,21256.045699038183,21276.463918366593,21296.22517457009,21247.59146450405,2074
2025-12-19 06:00:00,21262.933518731712,21256.045699038183,21294.672616937194,21249.09383809018,2701
2025-12-19 07:00:00,21274.13018986409,21262.933518731712,21279.416680961785,21238.668631743712,749
2025-12-19 08:00:00,21276.110563617833,21274.13018986409,21297.443865169535,21254.13723132767,1173
2025-12-19 09:00:00,21296.290590439305,21276.110563617833,21316.31735451342,21261.20853780061,937
2025-12-19 10:00:00,21332.67132580842,21296.290590439305,21340.493290836534,21280.684153973754,2665
2025-12-19 11:00:00,21408.055977257485,21332.67132580842,21417.638683565387,21309.87036794108,1270
2025-12-19 12:00:00,21442.475546245307,21408.055977257485,21456.29908719329,21399.659954831826,767
2025-12-19 13:00:00,21480.661020567342,21442.475546245307,21493.08993383412,21424.1720946111,2484
2025-12-19 14:00:00,21512.097133855194,21480.661020567342,21522.58733743276,21472.238783731875,1577
2025-12-19 15:00:00,21498.82772825747,21512.097133855194,21529.046631547128,21481.8679956886,735
2025-12-19 16:00:00,21534.113205203706,21498.82772825747,21545.05765980074,21487.59603470242,888
2025-12-19 17:00:00,21572.656022169696,21534.113205203706,21589.512421668558,21530.697879935684,1262
2025-12-19 18:00:00,21672.198326378428,21572.656022169696,21675.938616183415,21563.403575939716,2348
2025-12-19 19:00:00,21706.10608914016,21672.198326378428,21719.398511926465,21654.711065853644,2948
2025-12-19 20:00:00,21752.945084177958,21706.10608914016,21779.747933913553,21684.244812154546,1123
2025-12-19 21:00:00,21791.786522644248,21752.945084177958,21805.507014404542,21738.097213841178,1752
2025-12-19 22:00:00,21802.511305518743,21791.786522644248,21809.49107060164,21776.934627732186,1077
2025-12-19 23:00:00,21871.078657723683,21802.511305518743,21883.769388612323,21784.929557036037,2622
